NODEID,PRLOAD0600,PRICE0600,DIFF0600,NodeID,ZoneID,XCoord,YCoord,Capacity,Cost
3719,475.5,-14.962897,-0.109975,3719,3751,1201161.3529411764,107910.76470588236,390,0
3720,1568.5,0.0,0.0,3720,3752,1251326.1176470588,44071.64705882355,2337,0
3721,132.0,0.0,0.0,3721,3753,1243931.7058823528,630.2352941176505,220,0
3722,31.0,0.0,0.0,3722,3754,1252222.6470588236,35885.0588235294,1107,0
3723,68.5,0.0,0.0,3723,3755,1202426.6470588236,101875.88235294119,350,0
3724,45.5,-0.22392399999999998,0.42222299999999996,3724,3756,1268514.0588235294,228841.94117647057,63,0
3725,267.0,0.0,0.0,3725,3757,1247996.1764705882,-25985.705882352948,996,0
3726,327.0,0.0,0.0,3726,3758,1210451.3529411764,45468.64705882355,633,0
3727,8.5,0.0,0.0,3727,3759,1306915.3529411764,360597.2352941176,601,0
3728,1.0,0.0,0.0,3728,3760,1368736.0,272800.0,104,0
3729,7.0,-0.726531,2.179592,3729,3761,1426369.411764706,177835.4705882353,50,0
3730,83.0,0.0,0.0,3730,3762,1253506.2352941176,-36715.64705882355,600,0
3731,90.0,-3.352757,8.463738000000001,3731,3763,1220067.294117647,64238.4705882353,107,0
3732,775.0,-14.285526,-2.143423,3732,3764,1276305.4705882352,45831.17647058825,222,0
3733,960.5,-14.999976,-7.3e-05,3733,3765,1296381.7647058824,141947.5294117647,697,0
3734,6.0,0.0,0.0,3734,3766,1279691.8823529412,216985.8235294118,306,0
3735,19.5,-2e-06,7.000000000000001e-06,3735,3767,1280934.7647058824,135770.82352941175,49,0
3736,65.0,-0.000346,7.7e-05,3736,3768,1298205.2352941176,40150.0588235294,100,0
3737,6.5,-0.00022400000000000002,0.000452,3737,3769,1268530.1176470588,293019.0,20,0
3738,10.0,0.0,0.0,3738,3770,1297180.2941176472,197997.5882352941,62,0
3739,9.0,0.0,0.0,3739,3771,1320106.3529411764,269957.2352941176,493,0
3740,4.5,-0.923674,2.7710209999999997,3740,3772,1269609.4705882352,48681.882352941204,75,0
3741,82.5,0.0,0.0,3741,3773,1302651.2941176472,160422.82352941175,150,0
3742,0.0,0.0,0.0,3742,3774,1313678.7647058824,144091.17647058825,78,0
3743,22.5,-0.00022,-0.000205,3743,3775,1282260.0,197270.8823529412,44,0
3744,127.0,-1e-06,1e-06,3744,3776,1301349.7647058824,153935.64705882355,195,0
3745,1.0,0.0,0.0,3745,3777,1274865.2941176472,211799.2941176471,200,0
3746,40.0,-1.6e-05,4.9e-05,3746,3778,1205932.3529411764,235576.1176470588,79,0
3747,9.0,0.0,0.0,3747,3779,1334973.8823529412,340213.4705882353,515,0
3748,53.5,-0.984043,-0.18194100000000002,3748,3780,1326293.411764706,425765.58823529404,64,0
3749,2.0,0.0,0.0,3749,3781,1370278.411764706,454009.3529411765,877,0
3750,38.0,0.0,0.0,3750,3782,1290924.6470588236,281216.0,244,0
3751,320.5,0.0,0.0,3751,3783,1310788.3529411764,329500.8235294118,540,0
3752,31.0,-1.262458,1.594596,3752,3784,1293384.1176470588,12337.882352941204,40,0
3753,395.5,-6.717727,5.616208,3753,3785,1306444.4705882352,264257.7058823529,404,0
3754,593.0,-0.000145,0.000399,3754,3786,1278001.3529411764,330003.0588235294,713,0
3755,816.0,-11.480928,-10.557217999999999,3755,3787,1269421.9411764706,280727.0588235294,488,0
3756,288.5,-13.571515,0.535716,3756,3788,1298760.0588235294,270715.8823529412,267,0
3757,15.0,0.0,0.0,3757,3789,1198226.1176470588,89362.4117647059,122,0
3758,13.5,-2.8573470000000003,8.57204,3758,3790,1267668.1764705882,245455.0,385,0
3759,147.5,-14.26765,0.340015,3759,3791,1199422.4705882352,172094.0588235294,128,0
3760,253.5,-2.813225,8.439674,3760,3792,1254752.7647058824,63043.35294117645,819,0
3761,1422.0,-11.428571,-10.714288,3761,3793,1266660.9411764706,70862.64705882355,447,0
3762,0.0,-3.001561,9.004682,3762,3794,1275394.0588235294,133131.5882352941,30,0
3763,78.5,0.0,0.0,3763,3795,1215186.4705882352,140775.76470588235,275,0
3764,291.5,-11.434774,-10.695678,3764,3796,1281057.2352941176,124501.11764705881,37,0
3765,116.5,-12.140329,-8.57784,3765,3797,1311912.7647058824,184996.4705882353,75,0
3766,5275.5,-11.428571,-10.714288,3766,3798,1275895.0,229120.4117647059,519,0
3767,305.5,-12.140622,-8.578133,3767,3799,1294420.5294117648,279239.5882352941,186,0
3768,1548.5,-3.5943959999999997,8.64622,3768,3800,1317372.1764705882,405129.8235294118,1614,0
3769,85.5,-10.096161,-1.266364,3769,3801,1245620.1176470588,71379.8823529412,80,0
3770,1.0,-2.999997,8.999992,3770,3802,1327438.7058823528,211024.4705882353,38,0
3771,9.5,-2.999997,8.999992,3771,3803,1274482.0,180414.8823529412,50,0
3772,37.0,-0.714326,2.142978,3772,3804,1278502.6470588236,238944.76470588238,833,0
3773,100.0,-7.000000000000001e-06,2.1e-05,3773,3805,1201916.4705882352,49872.4705882353,203,0
3774,273.0,-3.223274,9.669821,3774,3806,1230177.0588235294,78942.17647058825,470,0
3775,4.0,-0.714283,2.142849,3775,3807,1305436.2941176472,118838.70588235295,40,0
