NODEID,PRLOAD0600,PRICE0600,DIFF0600,NodeID,ZoneID,XCoord,YCoord,Capacity,Cost
3719,563.5,-14.852922,-0.441233,3719,3751,1201161.3529411764,107910.76470588236,390,0
3720,1700.0,0.0,0.0,3720,3752,1251326.1176470588,44071.64705882355,2337,0
3721,115.0,0.0,0.0,3721,3753,1243931.7058823528,630.2352941176505,220,0
3722,40.0,0.0,0.0,3722,3754,1252222.6470588236,35885.0588235294,1107,0
3723,72.0,0.0,0.0,3723,3755,1202426.6470588236,101875.88235294119,350,0
3724,51.0,-0.646147,-0.034174,3724,3756,1268514.0588235294,228841.94117647057,63,0
3725,384.0,0.0,0.0,3725,3757,1247996.1764705882,-25985.705882352948,996,0
3726,332.5,0.0,0.0,3726,3758,1210451.3529411764,45468.64705882355,633,0
3727,10.0,0.0,0.0,3727,3759,1306915.3529411764,360597.2352941176,601,0
3728,2.0,0.0,0.0,3728,3760,1368736.0,272800.0,104,0
3729,14.0,-2.906123,8.71837,3729,3761,1426369.411764706,177835.4705882353,50,0
3730,86.5,0.0,0.0,3730,3762,1253506.2352941176,-36715.64705882355,600,0
3731,175.5,-11.816495,-9.550514999999999,3731,3763,1220067.294117647,64238.4705882353,107,0
3732,298.5,-12.142103,-8.573594,3732,3764,1276305.4705882352,45831.17647058825,222,0
3733,988.5,-14.999903,-0.000292,3733,3765,1296381.7647058824,141947.5294117647,697,0
3734,6.0,0.0,0.0,3734,3766,1279691.8823529412,216985.8235294118,306,0
3735,23.0,-9e-06,-8e-06,3735,3767,1280934.7647058824,135770.82352941175,49,0
3736,61.0,-0.00042300000000000004,0.001191,3736,3768,1298205.2352941176,40150.0588235294,100,0
3737,6.5,-0.000676,0.001808,3737,3769,1268530.1176470588,293019.0,20,0
3738,11.0,0.0,0.0,3738,3770,1297180.2941176472,197997.5882352941,62,0
3739,12.0,0.0,0.0,3739,3771,1320106.3529411764,269957.2352941176,493,0
3740,0.0,-3.694694,11.084081,3740,3772,1269609.4705882352,48681.882352941204,75,0
3741,70.5,0.0,0.0,3741,3773,1302651.2941176472,160422.82352941175,150,0
3742,0.0,0.0,0.0,3742,3774,1313678.7647058824,144091.17647058825,78,0
3743,19.5,-1.4999999999999999e-05,1.9e-05,3743,3775,1282260.0,197270.8823529412,44,0
3744,132.0,-2e-06,-1e-06,3744,3776,1301349.7647058824,153935.64705882355,195,0
3745,1.0,0.0,0.0,3745,3777,1274865.2941176472,211799.2941176471,200,0
3746,43.5,-6.500000000000001e-05,0.000174,3746,3778,1205932.3529411764,235576.1176470588,79,0
3747,7.0,0.0,0.0,3747,3779,1334973.8823529412,340213.4705882353,515,0
3748,51.5,-0.8021020000000001,0.660085,3748,3780,1326293.411764706,425765.58823529404,64,0
3749,2.0,0.0,0.0,3749,3781,1370278.411764706,454009.3529411765,877,0
3750,46.0,0.0,0.0,3750,3782,1290924.6470588236,281216.0,244,0
3751,214.5,0.0,0.0,3751,3783,1310788.3529411764,329500.8235294118,540,0
3752,12.5,-2.857054,8.571162,3752,3784,1293384.1176470588,12337.882352941204,40,0
3753,757.5,-12.333935,-7.998194,3753,3785,1306444.4705882352,264257.7058823529,404,0
3754,607.0,-0.000544,0.001059,3754,3786,1278001.3529411764,330003.0588235294,713,0
3755,29.5,-0.92371,2.77113,3755,3787,1269421.9411764706,280727.0588235294,488,0
3756,345.5,-14.107231,-2.678016,3756,3788,1298760.0588235294,270715.8823529412,267,0
3757,17.0,0.0,0.0,3757,3789,1198226.1176470588,89362.4117647059,122,0
3758,1265.0,-11.429386000000001,-10.711841,3758,3790,1267668.1764705882,245455.0,385,0
3759,154.5,-14.607664999999999,-0.451075,3759,3791,1199422.4705882352,172094.0588235294,128,0
3760,971.5,-11.252899000000001,-11.241289,3760,3792,1254752.7647058824,63043.35294117645,819,0
3761,265.0,-0.714283,2.142849,3761,3793,1266660.9411764706,70862.64705882355,447,0
3762,220.0,-12.006242,-8.981273,3762,3794,1275394.0588235294,133131.5882352941,30,0
3763,88.0,0.0,0.0,3763,3795,1215186.4705882352,140775.76470588235,275,0
3764,21.5,-0.739096,2.1806240000000003,3764,3796,1281057.2352941176,124501.11764705881,37,0
3765,0.0,-3.562489,10.687466,3765,3797,1311912.7647058824,184996.4705882353,75,0
3766,109.5,-0.714283,2.142849,3766,3798,1275895.0,229120.4117647059,519,0
3767,0.0,-3.562489,10.687466,3767,3799,1294420.5294117648,279239.5882352941,186,0
3768,1775.5,-12.240616000000001,-8.275773,3768,3800,1317372.1764705882,405129.8235294118,1614,0
3769,83.5,-8.829797,-1.520901,3769,3801,1245620.1176470588,71379.8823529412,80,0
3770,587.0,-11.999989,-9.000035,3770,3802,1327438.7058823528,211024.4705882353,38,0
3771,230.0,-11.999989,-9.000035,3771,3803,1274482.0,180414.8823529412,50,0
3772,0.0,-2.857304,8.571911,3772,3804,1278502.6470588236,238944.76470588238,833,0
3773,99.0,-2.8000000000000003e-05,8.4e-05,3773,3805,1201916.4705882352,49872.4705882353,203,0
3774,539.5,-12.893094,-6.265743,3774,3806,1230177.0588235294,78942.17647058825,470,0
