NODEID,PRLOAD0600,PRICE0600,DIFF0600,NodeID,ZoneID,XCoord,YCoord,Capacity,Cost
3831,12.0,-0.706587,2.105913,3831,3866,1196093.6470588236,139673.17647058825,25,0
3832,2.0,0.0,0.0,3832,3867,1307081.2941176472,293671.0588235294,225,0
3833,0.0,0.0,0.0,3833,3868,1297180.0588235294,233616.64705882352,100,0
3834,0.0,0.0,0.0,3834,3870,1347843.6470588236,287051.4117647059,462,0
3835,37.5,-0.703125,2.109375,3835,3871,1198060.705882353,175967.1764705882,92,0
3836,41.0,-0.703125,2.109375,3836,3873,1213979.705882353,60196.23529411764,95,0
3837,1267.0,-11.25,-11.25,3837,3874,1301849.2941176472,229583.1176470588,1022,0
3838,0.0,0.0,0.0,3838,3875,1311102.2352941176,325391.1764705882,356,0
3839,310.5,0.0,0.0,3839,3876,1336545.5294117648,397655.3529411765,662,0
3840,331.0,-1.137881,-1.052217,3840,3877,1303271.2941176472,91280.82352941176,354,0
3841,3.0,-0.703125,2.109375,3841,3878,1263089.588235294,14987.529411764699,33,0
3842,38.0,0.0,0.0,3842,3879,1351958.0,445192.8235294118,1010,0
3843,13.0,0.0,0.0,3843,3880,1185321.8823529412,191683.8823529412,207,0
3844,0.0,0.0,0.0,3844,3881,1314958.5294117648,250112.0,90,0
3845,11.0,0.0,0.0,3845,3882,1280873.3529411764,218615.35294117648,57,0
3846,2.0,0.0,0.0,3846,3883,1162626.294117647,83819.0,53,0
3847,0.0,0.0,0.0,3847,3884,1311349.0,223088.05882352943,210,0
3848,2.0,0.0,0.0,3848,3885,1315167.588235294,183846.7058823529,47,0
3849,40.5,0.0,0.0,3849,3886,1288065.6470588236,176174.0,566,0
3850,178.0,-0.019906999999999998,0.0013599999999999999,3850,3888,1187105.6470588236,150123.35294117645,219,0
3851,15.5,0.0,0.0,3851,3889,1286183.4705882352,62017.0,213,0
3852,2.5,0.0,0.0,3852,3890,1292419.0,70418.64705882355,74,0
3853,21.5,-0.703125,2.109375,3853,3891,1305139.4705882352,348796.2941176471,74,0
3854,3.5,-0.703125,2.109375,3854,3892,1307383.411764706,283452.1176470588,75,0
3855,13.0,-2.8125,8.4375,3855,3893,1305747.0588235294,167741.35294117645,265,0
3856,154.5,-7.696328,-4.883828,3856,3894,1236974.0588235294,50479.941176470595,150,0
3857,0.0,-3.515625,10.546875,3857,3895,1319761.7647058824,171367.5294117647,170,0
3858,364.0,-11.953125,-9.140625,3858,3896,1313325.5294117648,180606.4705882353,150,0
3859,119.0,-3.767118,-0.9546180000000001,3859,3897,1269487.8823529412,59272.76470588236,125,0
3860,105.5,-13.957903,-0.004956,3860,3898,1301782.588235294,163718.4705882353,90,0
3861,43.0,-0.703164,2.109336,3861,3899,1251155.7058823528,26404.882352941208,75,0
3862,214.0,-14.022851000000001,-2.931449,3862,3900,1167473.0,244439.5882352941,96,0
3863,62.0,-6.5181379999999995,-3.7056379999999995,3863,3901,1321842.411764706,382074.7647058824,61,0
3864,9.0,-2.812316,8.436948,3864,3902,1196236.0,213844.2941176471,54,0
3865,42.0,-0.637134,-0.637134,3865,3903,1267223.1764705882,99258.76470588236,52,0
3866,5.5,-3.510358,10.531073,3866,3904,1404023.588235294,172465.4705882353,50,0
3867,0.0,-2.819423,8.458267999999999,3867,3905,1265069.4705882352,197079.23529411762,49,0
3868,177.0,-11.953125,-9.140625,3868,3906,1272837.5294117648,231587.05882352943,46,0
3869,272.0,0.0,0.0,3869,3907,1231364.8235294118,288710.4117647059,1160,0
3870,32.5,-0.7053689999999999,2.1071310000000003,3870,3951,1185406.8235294118,212942.5882352941,54,0
